Location,Due Date,Level,Title,Year of Experiment,Salary Max
Ha Noi city,2023,Junior,Data Engineer,3,1270
Ha Noi city,2023,Senior,Data Engineer,4,2500
Ha Noi city,2023,Junior,Data Analyst,2,1154
Ha Noi city,2024,Fresher,Data Engineer,1,850
Ha Noi city ,2024,Junior,Business Analyst,2.5,1185
Ho Chi Minh city,2024,Fresher,Logistics Data Analyst,0.5,428
Ha Noi city,2024,Junior,Data Analyst,2,1068
Ho Chi Minh city,2024,Senior,Data Analyst,3,1368
Ho Chi Minh city,2024,Intern,Data Analyst,0,213
Ho Chi Minh city,2024,Senior,Data Analyst,4,2308
Ho Chi Minh city,2024,Senior,Data Engineer,3,2223
Ha Noi city,2024,Senior,Data Analyst,3,2277
Ho Chi Minh city,2024,Junior,Data Engineer,1.5,953
Ho Chi Minh city,2024,Junior,Business Analyst,2,855
Ha Noi city,2024,Junior,Data Scientist,1,1496
Ho Chi Minh city,2024,Junior,Data Analyst,2,1154
Ho Chi Minh city,2024,Senior,Data Analyst,3,1496
Ho Chi Minh city,2024,Senior,Business Intelligence Analyst,3,1068
Ho Chi Minh city,2024,Intern,Business Analyst,0,1282
Ho Chi Minh city,2024,Senior,Business Analyst,3.5,1068
Ho Chi Minh city,2024,Junior,Business Analyst,1,654
Ho Chi Minh city,2024,Junior,Business Analyst,"1,5",983
Ho Chi Minh city,2024,Senior,Business Analyst,3,1271
Ho Chi Minh city,2024,Senior,Business Analyst,"3,5",1710
Ho Chi Minh city,2024,Senior,Business Analyst,4,1517
Ha Noi city,2024,Junior,Data Analyst,"2,5",1278
Ho Chi Minh city,2024,Junior,Data Analyst,2,1282
Ha Noi city,2024,Junior,Data Analyst,2,1175
Ho Chi Minh city,2024,Junior,Data Analyst,"2,5",1346
Ha Noi city,2024,Fresher,Business Intelligence Analyst,"0,5",470
Ha Noi city,2024,Fresher,Data Analyst,"0,5",748
Ha Noi city,2024,Fresher,Data Engineer,0,492
Ha Noi city,2024,Fresher,Business Analyst,"0,5",962
Ho Chi Minh city,2024,Junior,Business Intelligence Analyst,2,2200
Ha Noi city,2024,Senior,AI Engineer,5,3708
Ho Chi Minh city,2024,Junior,Data Engineer,2,1589
Ha Noi city,2024,Senior,Data Architect,4,3178
Ha Noi city,2024,Senior,Data Scientist,"3,5",2331
Ha Noi city,2024,Junior,Data Analyst,"2,5",1695
Ha Noi city,2024,Junior,Data Engineer,3,1573
Ha Noi city,2024,Senior,Data Engineer,5,3006
Ha Noi city,2024,Senior,Data Engineer,4,2467
Ho Chi Minh city,2024,Junior,Data Engineer,2,1345
Ho Chi Minh city,2024,Senior,Business Analyst,3,1282
Ho Chi Minh city,2024,Senior,Business Analyst,"3,5",1560
Ho Chi Minh city,2024,Senior,Business Analyst,"3,5",1776
Ho Chi Minh city,2024,Junior,Business Analyst,"2,5",1175
Ho Chi Minh city,2023,Senior,Data Scientist,3,3178
Ha Noi city,2023,Senior,Data Engineer,"3,5",3331
Ha Noi city,2023,Senior,Data Engineer,3,3178
Ho Chi Minh city,2023,Manager,Data Science Manager,7,4195
Ho Chi Minh city,2023,Senior,Data Scientist,3,2648
Ho Chi Minh city,2023,Senior,Data Engineer,3,2542
Ho Chi Minh city,2023,Junior,Data Analyst,3,1589
Ho Chi Minh city,2023,Senior,Data Engineer,3,2468
Ha Noi city,2023,Senior,Data Scientist,3,2012
Ha Noi city,2023,Manager,Data Analyst,4,2648
Ho Chi Minh city,2023,Junior,Data Engineer,"2,5",2044
Ho Chi Minh,2023,Senior,Data Scientist,4,2542
Ho Chi Minh ,2023,Senior,Data Scientist,5,3600
Ha Noi city,2023,Senior,Data Scientist,4,2436
Ha Noi city,2023,Junior,Data Analyst,"1,5",985
Ho Chi Minh city,2023,Junior,Data Analyst,2,1355
Ha Noi city,2023,Junior,Data Analyst & Reporting Associate,2,1377
Ha Noi city,2023,Senior,Data Engineer,3,2331
Ho Chi Minh city,2024,Junior,Data Analyst,1,800
Ho Chi Minh city,2024,Junior,Data Analyst,1,1200
Ho Chi Minh city,2023,Senior,Data Analyst,3,4000
Ha Noi city,2023,Senior,Data Architect,10,4500
Ha Noi city,2023,Senior,Data Scientist,5,3000
Ho Chi Minh city,2023,Junior,Data Engineer,"2,5",2200
Ho Chi Minh city,2023,Senior,Data Scientist,3,2300
Ha Noi city,2023,Junior,Data Engineer,2,1060
Ha Noi city,2023,Senior,Data Analyst,3,2540
Ha Noi city,2023,Junior,Data Analyst,2,2200
Ha Noi city,2023,Senior,AI Engineer,4,2500
Ha Noi city,2023,Junior,Data Scientist,1,1270
Ho Chi Minh city,2024,Senior,Business Intelligence Analyst,4,2200
Ho Chi Minh city,2024,Fresher,Data Analyst,1,1000
Ho Chi Minh city,2024,Fresher,Data Analyst,"0,5",850
Ha Noi city,2024,Junior,Data Analyst,2,1060
Ho Chi Minh city,2023,Senior,Data Engineer,3,2330
Ho Chi Minh city,2023,Senior,Data Science,3,2200
Ha Noi city,2023,Senior,Data Engineer,5,2120
Ho Chi Minh city,2023,Senior,Data Scientist,5,2500
Ha Noi city,2023,Senior,Data Engineer,3,1485
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2170
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Junior,Data Engineer,"1,5",2000
Ho Chi Minh city,2023,Junior,Data Analyst,"2,5",1905
Ho Chi Minh city,2023,Junior,Data Analyst,1,1500
Ha Noi city,2023,Junior,Data Analyst,2,1270
Ha Noi city,2024,Junior,Data Engineer,2,1060
Ha Noi city,2024,Fresher,Data Analyst,"0,5",680
Ha Noi city,2024,Junior,Data Analyst,2,1500
Ho Chi Minh city,2024,Junior,Data Analyst,1,1500
Ha Noi city,2024,Senior,Data Engineer,5,1695
Ha Noi city,2024,Junior,Data Scientist,1,1500
Ho Chi Minh city,2024,Junior,Data Analyst,2,850
Ha Noi city,2023,Junior,Data Analyst,2,1060
Ho Chi Minh city,2023,Senior,Data Engineer,3,2330
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Senior,AI Engineer,5,2120
Ho Chi Minh city,2023,Senior,Data Scientist,5,2500
Ha Noi city,2023,Senior,Data Engineer,3,1485
Ha Noi city,2023,Senior,Data Engineer,4,2500
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Junior,Data Engineer,2,2000
Ho Chi Minh city,2023,Senior,Data Scientist,3,1905
Ho Chi Minh city,2023,Junior,Data Analyst,1,1450
Ho Chi Minh city,2024,Senior,Data Analyst,3,1270
Ha Noi city,2023,Fresher,Data Analyst,"0,5",680
Ha Noi city,2024,Junior,Data Engineer,2,1060
Ha Noi city,2024,Junior,Data Analyst,2,1500
Ho Chi Minh city,2024,Junior,Data Analyst,1,1300
Ha Noi city,2024,Senior,Data Engineer,5,1695
Ho Chi Minh city,2024,Junior,Data Scientist,1,1500
Ho Chi Minh city,2024,Junior,Data Analyst,2,850
Ha Noi city,2024,Junior,Business Intelligence Analyst,2,800
Ha Noi city,2024,Junior,Business Intelligence Analyst,2,1200
Ho Chi Minh city,2024,Senior,Business Intelligence ,3,2200
Ha Noi city,2024,Senior,Data Analyst,4,1000
Ho Chi Minh city,2024,Senior,Data Analyst,5,3000
Ha Noi city,2024,Junior,Data Analyst,2,1500
Ha Noi city,2024,Junior,Data Analyst,2,900
Ha Noi city,2024,Junior,AI Engineer,1,1500
Ho Chi Minh city,2024,Senior,Data Analyst,3,2500
Ho Chi Minh city,2024,Junior,Data Analyst,1,2200
Ho Chi Minh city,2024,Senior,Business Intelligence Analyst,5,2800
Ho Chi Minh city,2024,Senior,Data Analyst,5,3000
Ho Chi Minh city,2024,Junior,Data Engineer,1,1485
Ho Chi Minh city,2024,Intern,Data Scientist,0,210
Ho Chi Minh city,2024,Senior,Data Architect,5,4500
Ha Noi city,2023,Junior,Data Engineer,"2,5",1695
Ha Noi city,2023,Senior,Data Analyst,3,1270
Ho Chi Minh city,2023,Junior,Data Analyst,2,1200
Ha Noi city,2023,Junior,Data Engineer,2,1695
Ha Noi city,2023,Senior,Data Engineer,3,2330
Ha Noi city,2023,Fresher,Business Intelligence,"0,5",635
Ha Noi city,2023,Senior,Data Analyst,4,3070
Ha Noi city,2023,Senior,Data Analyst,3,1270
Ho Chi Minh city,2023,Junior,Data Analyst,"2,5",2500
Ho Chi Minh city,2023,Senior,Data Analyst,5,3000
Ho Chi Minh city,2023,Senior,Data Engineer,5,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,2800
Ho Chi Minh city,2023,Senior,Data Analyst,3,2500
Ho Chi Minh city,2023,Senior,Data Analyst,3,2500
Ha Noi city,2023,Junior,Data Engineer,2,1060
Ha Noi city,2023,Junior,Data Analyst,2,2120
Ha Noi city,2023,Junior,Data Analyst,"1,5",1300
Ha Noi city,2023,Junior,Data Analyst,1,850
Ho Chi Minh city,2023,Junior,Data Scientist,2,2390
Ho Chi Minh city,2023,Junior,Data Analyst,1,550
Ha Noi city,2023,Junior,Data Scientist,1,1695
Ha Noi city,2023,Junior,Data Engineer,2,1185
Ha Noi city,2023,Junior,Data Analyst,2,1270
Ho Chi Minh city,2023,Junior,Data Engineer,"2,5",1485
Ho Chi Minh city,2023,Senior,Data Engineer,3,2120
Ho Chi Minh city,2023,Junior,Data Engineer,"2,5",3000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1185
Ha Noi city,2023,Senior,Data Engineer,3,2035
Ha Noi city,2023,Fresher,AI Engineer,1,1060
Ho Chi Minh city,2023,Senior,Ai Engineer,3,2000
Ho Chi Minh city,2023,Senior,Data Scientist,4,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,1900
Ha Noi city,2024,Junior,Data Governance,1,1800
Ha Noi city,2024,Junior,Data Engineer,1,1800
Ha Noi city,2024,Senior,Data Engineer,3,2200
Ha Noi city,2024,Junior,Data Analyst,1,1800
Ha Noi city,2024,Senior,Data Analyst,5,3000
Ha Noi city,2024,Junior,Data Engineer,2,1270
Ho Chi Minh city,2024,Senior,Data Engineer,3,2500
Ha Noi city,2024,Junior,Data Engineer,2,1270
Ho Chi Minh city,2024,Junior,Data Analyst,2,1060
Ho Chi Minh city,2024,Senior,Data Engineer,5,3000
Ho Chi Minh city,2024,Senior,Data Engineer,4,3000
Ha Noi city,2024,Junior,Data Engineer,2,1500
Ha Noi city,2024,Senior,Data Analyst,3,1355
Ha Noi city,2024,Senior,Data Analyst,3,2000
Ha Noi city,2024,Senior,Data Engineer,3,1485
Ha Noi city,2024,Senior,Data Engineer,3,1452
Ha Noi city,2024,Junior,Data Engineer,1,2500
Ha Noi city,2023,Junior,Data Engineer,2,2330
Ha Noi city,2023,Senior,Data Engineer,3,1695
Ho Chi Minh city,2023,Senior,Data Scientist,5,3000
Ha Noi city,2024,Senior,Data Analyst,3,2200
Ha Noi city,2024,Senior,Data Analyst,3,2500
Ho Chi Minh city,2024,Junior,Data Analyst,1,1500
Ho Chi Minh city,2024,Senior,Business Intelligence,3,2200
Ho Chi Minh city,2024,Junior,Data Analyst,2,1800
Ha Noi city,2023,Junior,Data Engineer,1,2540
Ho Chi Minh city,2023,Senior,Data Engineer,5,3530
Ho Chi Minh city,2023,Senior,Data Analyst,3,2500
Ho Chi Minh city,2023,Senior,Data Engineer,5,2800
Ho Chi Minh city,2023,Senior,Data Scientist,3,2500
Ho Chi Minh city ,2023,Junior,Data Analyst,1,1500
Ha Noi city,2024,Senior,Business Intelligence Analyst,3,1500
Ha Noi city,2024,Senior,Business Intelligence Analyst,3,2000
Ha Noi city,2024,Junior,Business Intelligence Analyst,2,800
Ho Chi Minh city,2024,Junior,Software Engineer,1,800
Ho Chi Minh city,2023,Senior,Data Engineer,8,4000
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2024,Fresher,AI Engineers,"0,5",800
Ho Chi Minh city,2023,Junior,Data Analyst,1,595
Ha Noi city,2024,Junior,Data Engineer,2,960
Ho Chi Minh city,2023,Junior,Data Analyst,2,850
Ho Chi Minh city,2023,Junior,Data Analyst,1,510
Ha Noi city,2023,Junior,AI Engineer ,1,850
Ha Noi city,2023,Senior,Data Analyst,5,2540
Ho Chi Minh city,2023,Senior,Data Analyst,5,2540
Ha Noi city,2023,Senior,Big Data Engineer,5,2965
Ha Noi city,2023,Senior,AI Engineer,5,1695
Ha Noi city,2023,Junior,AI Engineer,2,1800
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Senior,AI Engineer,3,2500
Ha Noi city,2023,Senior,Data Analyst,4,2500
Ho Chi Minh city,2023,Intern,Data Science,0,210
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ha Noi city,2023,Junior,Data analyst,2,975
Ho Chi Minh City ,2024,Junior,Software Analyst,2,785
Ha Noi city,2023,Junior,Data Governance,2,1270
Ha Noi City,2024,Junior,Business Analyst,2,700
Ha Noi City,2023,Junior,AI Engineer,1,850
Ho Chi Minh City ,2024,Fresher,Business Analyst,0,360
Ho Chi Minh City ,2024,Intern ,Business Analyst,0,360
Ho Chi Minh City ,2024,Junior,Business Analyst,1,360
Ha Noi City,2024,Senior,Business Analyst,3,1620
Ho Chi Minh City ,2024,Senior,Business Analyst,3,1620
Ha Noi City,2024,Junior,Data Analyst,2,2200
Ha Noi City,2024,Senior,Data Governance,3,2200
Ha Noi City,2023,Senior,Data Analyst,3,1500
Ha Noi City,2023,Senior,Data Analyst,3,2200
Ha Noi City,2023,Senior,Data Engineer,3,1695
Ha Noi City,2023,Junior,Data Engineer,1,1200
Ha Noi City,2023,Junior,Data Engineer,2,2000
Ha Noi City,2023,Senior,Data Engineer,3,1695
Ha Noi city,2023,Junior,Data Analyst Specialist,2,1500
Ha Noi city,2023,Junior,Data Engineer,2,1200
Ha Noi city,2024,Fresher,Data Engineer,0,850
Ho Chi Minh city,2024,Internship,Data Analyst ,0,210
Ha Noi city,2024,Junior,Data Analyst,1,650
